"_id","estado","nombre","serie","ubicacion"
"646a3a511693a4904f69e325","1","ARDUINO EC 1","arduni_ec_1","AUTO 1"
"6476553836f5c632b6c5dd44","1","ARDUINO ES 1","arduni_es_1","AUTO ES"
